vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,distance_between_service,time_between_service,trip_type,imp_surcharge
2,2015-04-01 20:25:45.000000 UTC,2015-04-01 20:27:18.000000 UTC,N,1,-73.9980239868164,40.745803833007812,-73.998008728027344,40.745807647705078,2,10.36,29.0,0.5,0.5,0.0,0.0,,30.3,1,,,1,0.3
2,2015-10-16 19:28:53.000000 UTC,2015-10-16 19:42:42.000000 UTC,N,1,-73.985610961914062,40.7622184753418,-73.980033874511719,40.753612518310547,1,0.94,9.5,1.0,0.5,0.0,0.0,,11.3,2,,,1,0.3
2,2015-01-24 23:06:48.000000 UTC,2015-01-24 23:15:20.000000 UTC,N,1,-73.98309326171875,40.722461700439453,-73.975021362304688,40.733001708984375,1,1.03,7.5,0.5,0.5,1.76,0.0,,10.56,1,,,1,0.3
2,2015-04-27 21:05:45.000000 UTC,2015-04-27 21:05:52.000000 UTC,N,1,-73.983146667480469,40.762134552001953,-73.982749938964844,40.761981964111328,1,3.6,11.5,0.5,0.5,0.0,0.0,,12.8,2,,,1,0.3
2,2015-02-15 23:04:45.000000 UTC,2015-02-15 23:12:41.000000 UTC,N,1,-74.003654479980469,40.741806030273438,-73.995857238769531,40.749271392822266,1,0.74,7.0,0.5,0.5,1.66,0.0,,9.96,1,,,1,0.3
2,2015-07-24 17:59:27.000000 UTC,2015-07-24 17:59:27.000000 UTC,N,5,-73.971122741699219,40.755702972412109,-73.971115112304688,40.755687713623047,1,0.0,30.0,0.0,0.0,0.0,0.0,,30.3,1,,,1,0.3
2,2015-04-18 13:00:22.000000 UTC,2015-04-18 13:02:20.000000 UTC,N,1,-73.986404418945312,40.742351531982422,-73.9803695678711,40.738468170166016,1,0.49,3.5,0.0,0.5,0.0,0.0,,4.3,2,,,1,0.3
1,2015-03-02 10:12:51.000000 UTC,2015-03-02 10:12:54.000000 UTC,N,1,-73.995048522949219,40.740032196044922,-73.995063781738281,40.740016937255859,1,5.3,23.0,0.0,0.5,5.95,0.0,,29.75,1,,,1,0.3
2,2015-12-06 14:13:14.000000 UTC,2015-12-06 14:14:31.000000 UTC,N,1,-73.986244201660156,40.761089324951172,-73.983428955078125,40.759552001953125,1,0.18,3.0,0.0,0.5,0.0,0.0,,3.8,2,,,1,0.3
2,2015-03-29 23:34:04.000000 UTC,2015-03-29 23:38:15.000000 UTC,N,1,-73.990097045898438,40.746490478515625,-73.9842300415039,40.759628295898438,1,1.1,5.5,0.5,0.5,1.0,0.0,,7.8,1,,,1,0.3
2,2015-05-08 01:21:04.000000 UTC,2015-05-08 01:22:32.000000 UTC,N,5,-73.9927749633789,40.752609252929688,-73.993011474609375,40.752822875976562,1,0.0,50.0,0.0,0.0,0.0,0.0,,50.3,2,,,1,0.3
1,2015-12-12 17:48:18.000000 UTC,2015-12-12 17:48:21.000000 UTC,N,1,-73.972297668457031,40.765232086181641,-73.972305297851562,40.765228271484375,1,2.2,13.0,0.0,0.5,2.75,0.0,,16.55,1,,,1,0.3
1,2015-11-05 14:18:23.000000 UTC,2015-11-05 14:18:26.000000 UTC,Y,1,-73.9791488647461,40.728187561035156,-73.9791488647461,40.728187561035156,1,5.9,27.5,0.0,0.5,0.0,0.0,,28.3,2,,,1,0.3
2,2015-02-22 14:56:40.000000 UTC,2015-02-22 15:13:02.000000 UTC,N,1,-73.995033264160156,40.725143432617188,-73.974540710449219,40.762115478515625,1,3.33,13.5,0.0,0.5,0.0,0.0,,14.3,2,,,1,0.3
2,2015-04-11 03:03:01.000000 UTC,2015-04-11 03:14:23.000000 UTC,N,1,-74.008415222167969,40.7357292175293,-73.988327026367188,40.750102996826172,1,2.23,10.0,0.5,0.5,2.26,0.0,,13.56,1,,,1,0.3
2,2015-07-07 21:30:06.000000 UTC,2015-07-07 21:30:19.000000 UTC,N,1,-73.971878051757812,40.762027740478516,-73.9721908569336,40.761798858642578,1,3.59,14.5,0.5,0.5,3.16,0.0,,18.96,1,,,1,0.3
1,2015-03-22 04:48:33.000000 UTC,2015-03-22 04:58:23.000000 UTC,N,1,-73.994438171386719,40.771652221679688,-74.0017318725586,40.748382568359375,1,2.1,9.5,0.5,0.5,0.0,0.0,,10.8,2,,,1,0.3
1,2015-05-22 09:02:39.000000 UTC,2015-05-22 09:02:51.000000 UTC,N,1,-73.985809326171875,40.7490234375,-73.985298156738281,40.748748779296875,1,4.0,2.5,0.0,0.5,0.0,0.0,,3.3,4,,,1,0.3
2,2015-02-08 03:18:06.000000 UTC,2015-02-08 03:18:11.000000 UTC,N,2,-74.004814147949219,40.747920989990234,-74.005607604980469,40.748287200927734,1,0.0,52.0,0.0,0.5,0.0,0.0,,52.8,2,,,1,0.3
2,2015-11-05 08:04:39.000000 UTC,2015-11-05 08:04:58.000000 UTC,N,1,-73.991439819335938,40.722663879394531,-73.991371154785156,40.722797393798828,1,2.63,9.0,0.0,0.5,1.96,0.0,,11.76,1,,,1,0.3
2,2015-02-10 19:28:16.000000 UTC,2015-02-10 19:35:33.000000 UTC,N,1,-73.991607666015625,40.726886749267578,-73.982376098632812,40.727676391601562,1,0.66,6.0,1.0,0.5,0.0,0.0,,7.8,2,,,1,0.3
1,2015-05-30 09:59:21.000000 UTC,2015-05-30 09:59:31.000000 UTC,N,1,-74.0050048828125,40.7296142578125,-74.0050048828125,40.7296142578125,1,7.5,26.5,0.0,0.5,0.0,0.0,,27.3,2,,,1,0.3
2,2015-08-16 23:17:23.000000 UTC,2015-08-16 23:24:18.000000 UTC,N,1,-74.000114440917969,40.731132507324219,-73.988319396972656,40.72406005859375,1,0.86,6.5,0.5,0.5,1.56,0.0,,9.36,1,,,1,0.3
2,2015-02-04 15:54:15.000000 UTC,2015-02-04 15:58:04.000000 UTC,N,1,-73.999763488769531,40.726837158203125,-73.994033813476562,40.7285270690918,1,0.42,4.0,0.0,0.5,0.0,0.0,,4.8,2,,,1,0.3
2,2015-02-03 18:04:55.000000 UTC,2015-02-03 18:10:56.000000 UTC,N,1,-73.9852066040039,40.724102020263672,-73.989097595214844,40.7299919128418,1,0.65,5.5,1.0,0.5,0.0,0.0,,7.3,2,,,1,0.3
2,2015-10-12 08:25:26.000000 UTC,2015-10-12 08:25:42.000000 UTC,N,5,-73.999649047851562,40.754196166992188,-73.999740600585938,40.754264831542969,1,0.0,30.0,0.0,0.0,0.0,0.0,,30.3,1,,,1,0.3
