vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
2,2016-05-01 03:55:48.000000 UTC,2016-05-01 03:59:14.000000 UTC,3,0.88,-73.984085083007812,40.752792358398438,1,N,-73.9970474243164,40.754844665527344,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
2,2016-05-01 03:55:46.000000 UTC,2016-05-01 03:59:41.000000 UTC,1,0.59,-73.999801635742188,40.728511810302734,1,N,-74.005859375,40.733108520507812,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
2,2016-05-01 03:55:37.000000 UTC,2016-05-01 03:57:47.000000 UTC,1,0.85,-73.969131469726562,40.754173278808594,1,N,-73.976966857910156,40.743476867675781,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
2,2016-05-01 03:55:32.000000 UTC,2016-05-01 03:59:25.000000 UTC,3,0.9,-74.003402709960938,40.751445770263672,1,N,-73.996528625488281,40.7461051940918,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
2,2016-05-01 03:55:32.000000 UTC,2016-05-01 03:58:51.000000 UTC,1,1.37,-74.006698608398438,40.74407958984375,1,N,-73.993583679199219,40.7587776184082,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3
1,2016-05-01 03:55:27.000000 UTC,2016-05-01 03:59:43.000000 UTC,1,1.5,-73.997024536132812,40.737228393554688,1,N,-73.987419128417969,40.756065368652344,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8
2,2016-05-01 03:55:26.000000 UTC,2016-05-01 03:58:54.000000 UTC,6,0.78,-73.9874038696289,40.7387580871582,1,N,-73.979423522949219,40.746128082275391,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
2,2016-05-01 03:55:24.000000 UTC,2016-05-01 03:58:14.000000 UTC,3,0.76,-74.000839233398438,40.735958099365234,1,N,-73.989730834960938,40.729450225830078,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2016-05-01 03:55:24.000000 UTC,2016-05-01 03:58:23.000000 UTC,3,0.5,-74.006752014160156,40.739421844482422,1,N,-74.006805419921875,40.743961334228516,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8
1,2016-05-01 03:55:20.000000 UTC,2016-05-01 03:59:27.000000 UTC,1,0.7,-73.9884262084961,40.723148345947266,1,N,-73.978240966796875,40.7248420715332,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55
1,2016-05-01 03:55:19.000000 UTC,2016-05-01 03:58:41.000000 UTC,1,1.2,-73.971397399902344,40.757328033447266,1,N,-73.9782943725586,40.742538452148438,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75
2,2016-05-01 03:55:17.000000 UTC,2016-05-01 03:58:02.000000 UTC,1,1.16,-73.978790283203125,40.746849060058594,1,N,-73.991539001464844,40.73516845703125,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
1,2016-05-01 03:55:08.000000 UTC,2016-05-01 03:57:55.000000 UTC,2,0.5,-73.985748291015625,40.744239807128906,1,N,-73.978790283203125,40.744766235351562,1,4.0,0.5,0.5,1.0,0.0,0.3,6.3
2,2016-05-01 03:55:07.000000 UTC,2016-05-01 03:59:04.000000 UTC,2,0.41,-73.983039855957031,40.760303497314453,1,N,-73.986236572265625,40.756427764892578,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2016-05-01 03:55:07.000000 UTC,2016-05-01 03:59:10.000000 UTC,1,0.2,-73.994232177734375,40.766281127929688,1,N,-73.995437622070312,40.7707633972168,3,4.5,0.5,0.5,0.0,0.0,0.3,5.8
1,2016-05-01 03:55:07.000000 UTC,2016-05-01 03:57:09.000000 UTC,3,0.4,-73.982368469238281,40.750846862792969,1,N,-73.976394653320312,40.750690460205078,1,3.5,0.5,0.5,1.0,0.0,0.3,5.8
2,2016-05-01 03:54:56.000000 UTC,2016-05-01 03:58:19.000000 UTC,1,0.69,-73.986236572265625,40.747394561767578,1,N,-73.982009887695312,40.740810394287109,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
2,2016-05-01 03:54:52.000000 UTC,2016-05-01 03:58:37.000000 UTC,1,0.63,-73.9860610961914,40.740360260009766,1,N,-73.981559753417969,40.748081207275391,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
1,2016-05-01 03:54:50.000000 UTC,2016-05-01 03:57:39.000000 UTC,1,0.9,-74.003593444824219,40.751659393310547,1,N,-73.996612548828125,40.761138916015625,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2016-05-01 03:54:48.000000 UTC,2016-05-01 03:58:19.000000 UTC,1,0.98,-73.999679565429688,40.733600616455078,1,N,-73.99761962890625,40.7464714050293,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
1,2016-05-01 03:54:46.000000 UTC,2016-05-01 03:58:32.000000 UTC,4,0.9,-73.99090576171875,40.755943298339844,1,N,-73.980575561523438,40.765537261962891,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
2,2016-05-01 03:54:45.000000 UTC,2016-05-01 03:59:41.000000 UTC,1,1.1,-73.986518859863281,40.7476806640625,1,N,-73.9721908569336,40.751468658447266,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
2,2016-05-01 03:54:40.000000 UTC,2016-05-01 03:58:02.000000 UTC,6,0.54,-73.9861831665039,40.732864379882812,1,N,-73.97955322265625,40.735294342041016,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
1,2016-05-01 03:54:39.000000 UTC,2016-05-01 03:59:45.000000 UTC,1,1.0,-73.973602294921875,40.747959136962891,1,N,-73.9857406616211,40.750457763671875,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15
2,2016-05-01 03:54:37.000000 UTC,2016-05-01 03:57:50.000000 UTC,5,0.56,-73.9839096069336,40.749221801757812,1,N,-73.97894287109375,40.7448616027832,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2,2016-05-01 03:54:37.000000 UTC,2016-05-01 03:56:54.000000 UTC,1,0.37,-73.980789184570312,40.759975433349609,1,N,-73.9752426147461,40.759361267089844,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8
2,2016-05-01 03:54:35.000000 UTC,2016-05-01 03:58:39.000000 UTC,1,0.8,-73.997100830078125,40.7224006652832,1,N,-74.00177001953125,40.729465484619141,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
